IDBOOK,IDCLASS,IDSTUD,BSBG01,BSBGSLM,BSBGSVM,BSBGSCM,BSBGHER,BSDGHER,BSBGSB,BSBG07,BSBG13B,BSBG03,mark,BTBG06C,BTBGTJS,BTBG07B,BTDGTJS,IDSCHOOL,BCBG03A,BCBG03B,BCBG04,BCBG05B,BCBGDAS,BCDGSBC,BCDGEAS,dummy_poor
2.0,500101.0,50010101.0,1,9.68014,6.25944,10.35323,10.23835,2,9.81861,4.0,3.0,1.0,3.8,3.0,9.7693,1,2,5001.0,1.0,4.0,1.0,3.0,10.10482,1.0,3.0,0.0
3.0,500101.0,50010102.0,2,11.14859,9.65438,12.13375,10.26525,2,10.41803,5.0,3.0,1.0,5.0,3.0,9.7693,1,2,5001.0,1.0,4.0,1.0,3.0,10.10482,1.0,3.0,0.0
4.0,500101.0,50010103.0,1,11.42832,11.3019,12.13375,11.48712,2,10.41803,6.0,2.0,1.0,4.2,3.0,9.7693,1,2,5001.0,1.0,4.0,1.0,3.0,10.10482,1.0,3.0,0.0
5.0,500101.0,50010104.0,2,9.86638,8.82228,8.51577,8.99877,2,12.93734,3.0,2.0,2.0,2.8,3.0,9.7693,1,2,5001.0,1.0,4.0,1.0,3.0,10.10482,1.0,3.0,1.0
6.0,500101.0,50010105.0,1,9.68014,8.57829,8.76168,10.84499,2,7.85954,1.0,3.0,1.0,2.0,3.0,9.7693,1,2,5001.0,1.0,4.0,1.0,3.0,10.10482,1.0,3.0,0.0
7.0,500101.0,50010106.0,1,12.15847,13.48293,12.13375,10.23835,2,8.84686,2.0,1.0,1.0,3.6,3.0,9.7693,1,2,5001.0,1.0,4.0,1.0,3.0,10.10482,1.0,3.0,0.0
10.0,500101.0,50010110.0,1,8.94763,8.82228,6.49606,8.3581,3,9.05015,1.0,2.0,1.0,1.6,3.0,9.7693,1,2,5001.0,1.0,4.0,1.0,3.0,10.10482,1.0,3.0,1.0
11.0,500101.0,50010111.0,2,8.37412,8.12441,8.76168,9.64761,2,11.18784,5.0,2.0,1.0,3.2,3.0,9.7693,1,2,5001.0,1.0,4.0,1.0,3.0,10.10482,1.0,3.0,0.0
12.0,500101.0,50010112.0,2,10.25252,7.91135,9.10699,10.26525,2,7.05795,4.0,2.0,1.0,3.4,3.0,9.7693,1,2,5001.0,1.0,4.0,1.0,3.0,10.10482,1.0,3.0,0.0
13.0,500101.0,50010113.0,2,10.89898,9.35676,11.12082,9.64761,2,8.09367,5.0,2.0,1.0,3.2,3.0,9.7693,1,2,5001.0,1.0,4.0,1.0,3.0,10.10482,1.0,3.0,1.0
14.0,500101.0,50010114.0,2,7.71308,6.01079,5.90622,12.25657,1,8.66719,1.0,3.0,1.0,3.0,3.0,9.7693,1,2,5001.0,1.0,4.0,1.0,3.0,10.10482,1.0,3.0,0.0
1.0,500101.0,50010116.0,2,8.57095,8.34615,9.65813,8.3581,3,8.84686,4.0,2.0,2.0,3.6,3.0,9.7693,1,2,5001.0,1.0,4.0,1.0,3.0,10.10482,1.0,3.0,1.0
3.0,500101.0,50010118.0,2,10.23585,8.57829,9.45004,10.84499,2,11.18784,2.0,3.0,1.0,2.8,3.0,9.7693,1,2,5001.0,1.0,4.0,1.0,3.0,10.10482,1.0,3.0,0.0
4.0,500101.0,50010119.0,2,9.13133,7.50425,6.49606,9.64761,2,9.28593,4.0,2.0,1.0,2.8,3.0,9.7693,1,2,5001.0,1.0,4.0,1.0,3.0,10.10482,1.0,3.0,1.0
5.0,500101.0,50010120.0,1,9.68014,7.10653,9.22591,11.48712,2,9.28593,5.0,3.0,1.0,3.2,3.0,9.7693,1,2,5001.0,1.0,4.0,1.0,3.0,10.10482,1.0,3.0,0.0
6.0,500101.0,50010121.0,1,10.05658,10.34734,9.45004,8.99877,2,10.41803,5.0,2.0,2.0,3.0,3.0,9.7693,1,2,5001.0,1.0,4.0,1.0,3.0,10.10482,1.0,3.0,1.0
7.0,500101.0,50010122.0,1,13.84849,12.04145,14.06165,10.23835,2,8.50552,6.0,2.0,1.0,5.0,3.0,9.7693,1,2,5001.0,1.0,4.0,1.0,3.0,10.10482,1.0,3.0,0.0
8.0,500101.0,50010124.0,1,9.13133,9.08085,9.89515,10.84499,2,8.84686,2.0,3.0,1.0,2.2,3.0,9.7693,1,2,5001.0,1.0,4.0,1.0,3.0,10.10482,1.0,3.0,0.0
10.0,500301.0,50030101.0,2,10.67004,10.34734,9.45004,11.48712,2,8.22128,5.0,2.0,2.0,4.6,3.0,6.74486,2,3,5003.0,1.0,4.0,1.0,4.0,11.19421,1.0,3.0,0.0
11.0,500301.0,50030102.0,1,8.57095,8.34615,8.99736,11.48712,2,9.28593,6.0,4.0,2.0,4.0,3.0,6.74486,2,3,5003.0,1.0,4.0,1.0,4.0,11.19421,1.0,3.0,0.0
12.0,500301.0,50030103.0,2,7.71308,8.34615,9.22591,12.25657,1,9.92809,5.0,2.0,1.0,2.8,3.0,6.74486,2,3,5003.0,1.0,4.0,1.0,4.0,11.19421,1.0,3.0,0.0
13.0,500301.0,50030104.0,2,9.31385,9.98068,10.59469,10.23835,2,8.66719,5.0,2.0,1.0,4.6,3.0,6.74486,2,3,5003.0,1.0,4.0,1.0,4.0,11.19421,1.0,3.0,0.0
14.0,500301.0,50030105.0,2,8.57095,7.50425,9.45004,12.25657,1,12.93734,6.0,1.0,1.0,4.0,3.0,6.74486,2,3,5003.0,1.0,4.0,1.0,4.0,11.19421,1.0,3.0,0.0
1.0,500301.0,50030107.0,2,9.31385,8.57829,8.51577,11.48712,2,9.28593,2.0,2.0,1.0,2.8,3.0,6.74486,2,3,5003.0,1.0,4.0,1.0,4.0,11.19421,1.0,3.0,0.0
2.0,500301.0,50030108.0,2,7.44727,6.48714,6.49606,10.26525,2,9.28593,2.0,2.0,1.0,2.6,3.0,6.74486,2,3,5003.0,1.0,4.0,1.0,4.0,11.19421,1.0,3.0,0.0
3.0,500301.0,50030109.0,2,8.94763,9.98068,9.6723,10.84499,2,9.56975,5.0,1.0,1.0,3.4,3.0,6.74486,2,3,5003.0,1.0,4.0,1.0,4.0,11.19421,1.0,3.0,0.0
4.0,500301.0,50030110.0,1,11.14859,8.82228,10.59469,8.99877,2,11.18784,5.0,2.0,1.0,5.0,3.0,6.74486,2,3,5003.0,1.0,4.0,1.0,4.0,11.19421,1.0,3.0,1.0
6.0,500301.0,50030112.0,2,8.16805,8.57829,8.99736,10.84499,2,9.92809,6.0,2.0,1.0,4.8,3.0,6.74486,2,3,5003.0,1.0,4.0,1.0,4.0,11.19421,1.0,3.0,0.0
7.0,500301.0,50030113.0,1,8.37412,7.30474,9.22591,8.99877,2,9.92809,5.0,2.0,1.0,3.4,3.0,6.74486,2,3,5003.0,1.0,4.0,1.0,4.0,11.19421,1.0,3.0,1.0
8.0,500301.0,50030115.0,2,13.84849,13.48293,14.06165,11.48712,2,9.92809,5.0,1.0,1.0,4.4,3.0,6.74486,2,3,5003.0,1.0,4.0,1.0,4.0,11.19421,1.0,3.0,0.0
9.0,500301.0,50030116.0,1,8.57095,7.91135,8.25602,11.48712,2,9.92809,5.0,2.0,1.0,4.0,3.0,6.74486,2,3,5003.0,1.0,4.0,1.0,4.0,11.19421,1.0,3.0,0.0
10.0,500301.0,50030117.0,1,9.68014,9.35676,11.12082,11.48712,2,9.56975,3.0,2.0,1.0,4.0,3.0,6.74486,2,3,5003.0,1.0,4.0,1.0,4.0,11.19421,1.0,3.0,0.0
11.0,500301.0,50030118.0,1,9.4964,10.34734,13.19086,13.51543,1,11.18784,6.0,1.0,1.0,4.2,3.0,6.74486,2,3,5003.0,1.0,4.0,1.0,4.0,11.19421,1.0,3.0,0.0
13.0,500301.0,50030120.0,2,10.45644,13.48293,10.59469,12.25657,1,12.93734,6.0,2.0,1.0,4.8,3.0,6.74486,2,3,5003.0,1.0,4.0,1.0,4.0,11.19421,1.0,3.0,0.0
14.0,500301.0,50030121.0,2,8.76139,11.3019,6.95612,13.51543,1,9.92809,5.0,1.0,1.0,3.6,3.0,6.74486,2,3,5003.0,1.0,4.0,1.0,4.0,11.19421,1.0,3.0,0.0
1.0,500301.0,50030123.0,2,9.86638,12.04145,11.12082,10.84499,2,9.92809,6.0,1.0,1.0,4.6,3.0,6.74486,2,3,5003.0,1.0,4.0,1.0,4.0,11.19421,1.0,3.0,0.0
2.0,500301.0,50030124.0,1,9.13133,8.34615,6.95612,9.64761,2,12.93734,4.0,2.0,1.0,3.2,3.0,6.74486,2,3,5003.0,1.0,4.0,1.0,4.0,11.19421,1.0,3.0,0.0
3.0,500301.0,50030125.0,1,11.14859,8.57829,10.35323,10.84499,2,8.09367,6.0,1.0,1.0,4.0,3.0,6.74486,2,3,5003.0,1.0,4.0,1.0,4.0,11.19421,1.0,3.0,0.0
9.0,500501.0,50050101.0,1,8.94763,6.25944,8.51577,8.3581,3,11.18784,1.0,2.0,1.0,3.8,3.0,9.7693,1,2,5005.0,2.0,3.0,1.0,5.0,9.79606,1.0,3.0,1.0
10.0,500501.0,50050102.0,2,11.42832,9.65438,14.06165,10.23835,2,12.93734,5.0,1.0,1.0,4.0,3.0,9.7693,1,2,5005.0,2.0,3.0,1.0,5.0,9.79606,1.0,3.0,0.0
11.0,500501.0,50050103.0,2,7.44727,7.10653,7.678,9.64761,2,11.18784,4.0,2.0,1.0,4.2,3.0,9.7693,1,2,5005.0,2.0,3.0,1.0,5.0,9.79606,1.0,3.0,1.0
12.0,500501.0,50050104.0,2,9.4964,10.21459,9.22591,9.64761,2,11.18784,3.0,2.0,1.0,4.0,3.0,9.7693,1,2,5005.0,2.0,3.0,1.0,5.0,9.79606,1.0,3.0,1.0
13.0,500501.0,50050105.0,2,9.31385,7.70526,9.22591,10.23835,2,8.84686,5.0,2.0,1.0,5.0,3.0,9.7693,1,2,5005.0,2.0,3.0,1.0,5.0,9.79606,1.0,3.0,0.0
14.0,500501.0,50050106.0,2,8.57095,6.25944,7.678,10.23835,2,9.92809,4.0,1.0,1.0,4.0,3.0,9.7693,1,2,5005.0,2.0,3.0,1.0,5.0,9.79606,1.0,3.0,0.0
1.0,500501.0,50050108.0,1,12.72711,12.04145,7.34181,9.64761,2,12.93734,4.0,1.0,1.0,3.0,3.0,9.7693,1,2,5005.0,2.0,3.0,1.0,5.0,9.79606,1.0,3.0,1.0
2.0,500501.0,50050109.0,1,10.25252,9.98068,13.19086,10.23835,2,12.93734,5.0,2.0,1.0,4.8,3.0,9.7693,1,2,5005.0,2.0,3.0,1.0,5.0,9.79606,1.0,3.0,0.0
3.0,500501.0,50050110.0,1,11.14859,9.35676,11.53589,8.99877,2,12.93734,6.0,2.0,1.0,4.6,3.0,9.7693,1,2,5005.0,2.0,3.0,1.0,5.0,9.79606,1.0,3.0,1.0
4.0,500501.0,50050111.0,1,9.68014,9.35676,8.99736,11.19079,2,11.18784,3.0,1.0,1.0,3.8,3.0,9.7693,1,2,5005.0,2.0,3.0,1.0,5.0,9.79606,1.0,3.0,0.0
5.0,500501.0,50050112.0,1,9.86638,8.82228,8.25602,8.3581,3,9.56975,4.0,2.0,2.0,3.2,3.0,9.7693,1,2,5005.0,2.0,3.0,1.0,5.0,9.79606,1.0,3.0,1.0
6.0,500501.0,50050113.0,2,9.86638,8.57829,11.75008,10.23835,2,12.93734,3.0,1.0,1.0,4.4,3.0,9.7693,1,2,5005.0,2.0,3.0,1.0,5.0,9.79606,1.0,3.0,0.0
8.0,500501.0,50050116.0,1,10.89898,8.34615,10.84951,10.23835,2,10.41803,5.0,2.0,1.0,4.6,3.0,9.7693,1,2,5005.0,2.0,3.0,1.0,5.0,9.79606,1.0,3.0,0.0
9.0,500501.0,50050117.0,1,12.72711,9.08085,12.59517,10.23835,2,12.93734,5.0,2.0,1.0,4.4,3.0,9.7693,1,2,5005.0,2.0,3.0,1.0,5.0,9.79606,1.0,3.0,0.0
14.0,500801.0,50080101.0,2,12.15847,8.34615,13.19086,12.25657,1,8.50552,6.0,2.0,3.0,5.0,2.0,8.48286,1,2,5008.0,1.0,4.0,1.0,1.0,11.19421,1.0,2.0,0.0
